requested_url,final_url,status,elapsed_ms,content_type,content_length,title,lang,direction,description,h1_count,images_total,images_missing_alt,images_empty_alt,images_lazy,empty_links,placeholder_hits,soft_404,error
https://alhikmakw.org.kw/donation,https://alhikmakw.org.kw/donation/,200,3969,text/html; charset=UTF-8,200458,جمعية الحكمة الكويتية الخيرية,ar,rtl,,6,50,1,22,7,34,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar,https://alhikmakw.org.kw/donation/,200,8125,text/html; charset=UTF-8,200458,جمعية الحكمة الكويتية الخيرية,ar,rtl,,6,50,1,22,7,34,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/10,https://alhikmakw.org.kw/donation/ar/10,200,3419,text/html; charset=UTF-8,124575,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,27,1,17,0,20,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/110,https://alhikmakw.org.kw/donation/ar/110,200,5566,text/html; charset=UTF-8,136658,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,31,1,20,4,26,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/115,https://alhikmakw.org.kw/donation/ar/115,200,5741,text/html; charset=UTF-8,142970,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,35,1,24,8,34,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/152,https://alhikmakw.org.kw/donation/ar/152,200,6239,text/html; charset=UTF-8,159078,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,32,1,17,0,25,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/154,https://alhikmakw.org.kw/donation/ar/154,200,5303,text/html; charset=UTF-8,131352,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,27,1,17,0,20,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/167,https://alhikmakw.org.kw/donation/ar/167,200,5805,text/html; charset=UTF-8,133545,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,27,1,17,0,20,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/205,https://alhikmakw.org.kw/donation/ar/205,200,6266,text/html; charset=UTF-8,148770,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,32,1,17,0,25,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/218,https://alhikmakw.org.kw/donation/ar/218,200,6480,text/html; charset=UTF-8,168573,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,37,1,21,5,33,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/233,https://alhikmakw.org.kw/donation/ar/233,200,6592,text/html; charset=UTF-8,155201,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,34,1,18,2,27,English placeholder Pay | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/246,https://alhikmakw.org.kw/donation/ar/246,200,6434,text/html; charset=UTF-8,145729,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,37,1,26,10,38,English placeholder Pay | Project Name placeholder,False,
